Model,Attack_Type,Parameter,k,radius,kernel_size,Accuracy
Standard,Fixed-Saliency,radius,9,1,3,71.19
Standard,Fixed-Saliency,radius,9,2,5,61.74
Standard,Fixed-Saliency,radius,9,3,7,54.25
PGD-AT,Fixed-Saliency,radius,9,1,3,70.11
PGD-AT,Fixed-Saliency,radius,9,2,5,59.72
PGD-AT,Fixed-Saliency,radius,9,3,7,50.91
FGSM-AT,Fixed-Saliency,radius,9,1,3,73.73
FGSM-AT,Fixed-Saliency,radius,9,2,5,60.51
FGSM-AT,Fixed-Saliency,radius,9,3,7,51.13
Occlusion-AT,Fixed-Saliency,radius,9,1,3,93.78
Occlusion-AT,Fixed-Saliency,radius,9,2,5,89.78
Occlusion-AT,Fixed-Saliency,radius,9,3,7,90.41
Adaptive-Occlusion-AT,Fixed-Saliency,radius,9,1,3,98.14
Adaptive-Occlusion-AT,Fixed-Saliency,radius,9,2,5,97.37
Adaptive-Occlusion-AT,Fixed-Saliency,radius,9,3,7,95.88
Adaptive-Saliency-AT(N5R1),Fixed-Saliency,radius,9,1,3,97.95
Adaptive-Saliency-AT(N5R1),Fixed-Saliency,radius,9,2,5,93.86
Adaptive-Saliency-AT(N5R1),Fixed-Saliency,radius,9,3,7,84.44
Adaptive-Saliency-AT(N5R3),Fixed-Saliency,radius,9,1,3,98.43
Adaptive-Saliency-AT(N5R3),Fixed-Saliency,radius,9,2,5,98.1
Adaptive-Saliency-AT(N5R3),Fixed-Saliency,radius,9,3,7,96.85
Adaptive-Mixed-AT,Fixed-Saliency,radius,9,1,3,94.03
Adaptive-Mixed-AT,Fixed-Saliency,radius,9,2,5,91.27
Adaptive-Mixed-AT,Fixed-Saliency,radius,9,3,7,86.48
Mixed-Occlusion-PGD-AT(10e),Fixed-Saliency,radius,9,1,3,94.96
Mixed-Occlusion-PGD-AT(10e),Fixed-Saliency,radius,9,2,5,89.16
Mixed-Occlusion-PGD-AT(10e),Fixed-Saliency,radius,9,3,7,80.28
Adaptive-Saliency-PGD-MixAT,Fixed-Saliency,radius,9,1,3,95.48
Adaptive-Saliency-PGD-MixAT,Fixed-Saliency,radius,9,2,5,93.64
Adaptive-Saliency-PGD-MixAT,Fixed-Saliency,radius,9,3,7,89.27
Free-AT(m=2),Fixed-Saliency,radius,9,1,3,66.64
Free-AT(m=2),Fixed-Saliency,radius,9,2,5,57.54
Free-AT(m=2),Fixed-Saliency,radius,9,3,7,48.53
Free-AT(m=5),Fixed-Saliency,radius,9,1,3,75.43
Free-AT(m=5),Fixed-Saliency,radius,9,2,5,66.83
Free-AT(m=5),Fixed-Saliency,radius,9,3,7,60.83
Free-AT(m=10),Fixed-Saliency,radius,9,1,3,79.77
Free-AT(m=10),Fixed-Saliency,radius,9,2,5,69.61
Free-AT(m=10),Fixed-Saliency,radius,9,3,7,60.79
Free-AT(m=25),Fixed-Saliency,radius,9,1,3,83.58
Free-AT(m=25),Fixed-Saliency,radius,9,2,5,72.15
Free-AT(m=25),Fixed-Saliency,radius,9,3,7,62.84
Free-AT(m=50),Fixed-Saliency,radius,9,1,3,72.85
Free-AT(m=50),Fixed-Saliency,radius,9,2,5,66.43
Free-AT(m=50),Fixed-Saliency,radius,9,3,7,59.79
